,en,de
768,Two bicyclists riding beside some railroad tracks.,Zwei Fahrradfahrer fahren neben Eisenbahnschienen entlang.
769,A couple enjoy a beautiful day bicycling on a bike trail wearing bicycling safety helmets and gloves.,"Ein Paar, das beim Fahrradfahren auf einem Radweg Fahrradhelme und Handschuhe trägt, genießt einen schönen Tag."
770,Women in bike helmets take break from long ride.,Frauen mit Fahrradhelmen machen nach langer Fahrt eine Pause.
771,"A man wearing a black helmet, blue jacket, and khaki shirts rides his bike on the street next to a red car.","Ein Mann mit Fahrradhelm, blauer Jacke und khakifarbenen Hosen fährt mit seinem Fahrrad auf der Straße neben einem roten Auto."
772,Kid about to go on bike ride with parent,"Ein Kind, das gleich mit einem seiner Eltern Fahrrad fahren wird."
773,Two little boys look back as they walk across a grassy area.,"Zwei Jungen, die durch Gras gehen, blicken zurück."
774,Child on a small motorbike near a small pond.,Ein Kind auf einem kleinen Motorrad in der Nähe eines kleinen Teichs.
775,Two little blond girls in helmets are sitting on a red ATV.,Zwei kleine blonde Mädchen mit Helmen sitzen auf einem roten Geländewagen.
776,A boy in white plays baseball.,Ein weiß gekleideter Junge spielt Baseball.
777,A young boy with his tongue stuck out is climbing onto a wooden platform.,Ein Junge klettern mit herausgestreckter Zunge auf eine Holzplattform.
778,A woman standing at the counter of a takeout window.,Eine Frau steht am Fenster eines Imbissfensters.
779,A dog wearing a blue harness stands in the snow and pants.,Ein Hund mit einem blauen Geschirr steht im Schnee und hechelt.
780,A woman is standing next to a Japanese version of Disney's Snow White.,Eine Frau steht neben einer japanischen Version von Walt Disney's Schneewittchen.
781,A woman orders a dish at a street kitchen vendor.,Eine Frau bestellt bei einem Straßenküchenverkäufer ein Gericht.
782,Dogs pulling a sled in a sled race.,Bei einem Hunderennen ziehen Hunde einen Schlitten.
783,"A lone musician in black is on stage, playing an acoustic guitar and singing into a microphone.","Ein einzelner Musiker in Schwarz ist auf der Bühne, spielt akustische Gitarre und singt in ein Mikrofon."
784,A young boy in a swimming suit sits in water.,Ein Junge im Schwimmanzug sitzt im Wasser.
785,A woman in jeans walking along a pathway with green railing.,"Eine Frau in Jeans, die auf einem Pfad mit einem grünen Geländer geht."
786,A woman in a black shirt is hugging a man.,Eine Frau mit einem schwarzen Oberteil umarmt einen Mann.
787,"A woman squatting in the grass is smiling at a little boy, as he smiles and raises his hands in the air.","Eine Frau, die im Gras in der Hocke sitzt, lächelt einen kleinen Jungen an, der selbst lächelt und seine Hände hoch hebt."
788,The dog has red straps in its back.,Der Hund hat rote Riemen auf seinem Rücken.
789,A black dog and a white dog are standing on snow.,Ein schwarzer Hund und ein weißer Hund stehen im Schnee.
790,A dog jumping in the water at a beack.,Ein Hund springt an einer Bake ins Wasser.
791,"A brown, fluffy dog jumping into a swimming pool after a red toy.","Ein brauner, flauschiger Hund, der einem roten Spielzeug in den Pool nachspringt."
792,A white dog jumping to catch a red ball.,"Ein weißer Hund, der springt, um einen roten Ball zu fangen."
793,A boy jumps from one table to another at a park.,Ein Junge springt in einem Park von einem Tisch auf einen anderen.
794,Two and four footed neighbors stop by to visit.,Zwei- und vierbeinige Nachbarn kommen auf einen Besuch vorbei.
795,A heavyset couple interact outside a striped cabana on a beach located near a pier.,Ein beleibtes Paar ist vor einem gestreiften Umkleidezelt an einem Strand in der Nähe eines Piers miteinander beschäftigt.
796,A young girl tries her hand at gardening.,Ein Mädchen versucht sich als Gärtnerin.
797,A lady that's holding a yellow bag is sitting on a chair in a store.,"Eine Dame, die eine gelbe Tasche hält, sitzt in einem Laden auf einem Stuhl."
798,A woman reaching out to lights.,"Eine Frau, die nach Streichhölzern greift."
799,Three young women perform a dance in a crowded hall.,"Drei Frauen, die in einem vollen Saal einen Tanz vorführen."
800,There are three swimmers from the same team getting ready to compete.,"Drei Schwimmer, die zum gleichen Team gehören, bereiten sich auf den Wettkampf vor."
801,Two people are swimming in water next to a red buoy.,Zwei Personen schwimmen neben einer roten Boje.
802,Two boys stand beside a pile of garbage on the ground.,Zwei Jungen stehen neben einem Haufen Müll auf dem Boden.
803,A little boy is holding a green and yellow sponge while standing in front of a stove.,Ein kleiner Junge steht vor einem Herd und hält einen grün-gelben Schwamm.
804,A woman squatting to face a small child while holding a dog.,"Eine Frau, die in der Hocke sitzt, um auf Augenhöhe mit einem Kleinkind zu sein, und gleichzeitig einen Hund hält."
805,A man standing in a hole in front of a woman in a garden.,"Ein Mann, der in einem Garten in einem Loch vor einer Frau steht."
806,A worker in a blue hat is fixing the wall.,Ein Arbeiter mit blauem Schutzhelm repariert die Mauer.
807,A woman in traditional Islamic garb walks through a plaza with a bearded man.,Eine Frau in traditioneller islamischer Kleidung geht mit einem bärtigen Mann durch ein Einkaufszentrum.
808,A family poses for a photo at dinner.,Eine Familie posiert beim Abendessen für ein Foto.
809,A woman talks animatedly to her companion next to a body of water.,Neben einem Gewässer spricht eine Frau angeregt mit ihrem Begleiter.
810,Man with hat juggling in front of a captivated audience.,"Ein Mann mit Hut, der vor einem faszinierten Publikum jongliert."
811,A man on a phone and woman sitting near a painting.,"Ein Mann am Telefon und eine Frau, die in der Nähe eines Gemäldes sitzen."
812,A woman holding a dog on a leash.,"Eine Frau, die einen Hund an der Leine hält."
813,A person is setting at a table in a cafe.,"Eine Person, die in einem Café an einem Tisch sitzt."
814,A woman is drinking from a green straw.,"Eine Frau, die mit einem grünen Strohhalm trinkt."
815,A gentleman in a purple scarf and hat is looking at money while holding an accordion.,Ein Herr mit violettem Schal und Hut hält ein Akkordeon und blickt auf Geld.
816,A lady in a red and black striped shirt is sitting on a retaining wall.,Eine Frau in einem rot-schwarz-gestreiften Oberteil sitzt auf einer Stützmauer.
817,"A crowd of people are standing together on a sidewalk, while one man is taking a picture.","Eine Menschenmenge steht auf einem Bürgerteig, während ein Mann fotografiert."
818,The woman in glasses is holding a red and white sale bag.,Eine Frau mit Brille hält eine rot-weiße Einkaufstüte.
819,Four boys run down a stone paved sidewalk.,Vier Jungen rennen einen gepflasterten Bürgersteig entlang.
820,A female looking out the window as a male looks in.,"Eine weibliche Person, die aus dem Fenster blickt, während eine männliche Person hinein blickt."
821,A hiker with an American flag on his backpack walks through the woods.,Ein Wanderer mit einer amerikanischen Flagge auf seinem Rucksack wandert durch den Wald.
822,A man in a red shirt sits at a table with a glass of water.,Ein Mann mit einem roten Hemd sitzt mit einem Glas Wasser an einem Tisch.
823,A man cooking something in an old fire burning oven with a apron on.,"Ein Mann mit einer Schürze, der etwas in einem alten Holzofen zubereitet."
824,These people are cooking lots of food.,Diese Leute kochen jede Menge Essen.
825,A little girl in a sweater is swung around by an unseen hand.,Ein kleines Mädchen in einem Pullover wird von einer nicht sichtbaren Hand herumgedreht.
826,A man in a jumpsuit and hat tends to a large spool of rope.,Ein Mann mit Overall und Helm kümmert sich um eine große Seilrolle.
827,A boy in swim trunks does a backflip into the ocean while mountains show through the fog behind him.,"Ein Junge in Badehosen macht eine Rolle rückwärts ins Meer, hinter ihm sind durch den Nebel Berge zu sehen."
828,"An injured, bloody person sitting with friends in a hospital waiting room.","Eine verletzte, blutende Person sitzt mit Freunden im Warteraum eines Krankenhauses."
829,Six shirtless men are standing outside leaning on or standing near a fence.,Sechs Männer mit nacktem Oberkörper stehen im Freien und lehnen sich an einen Zaun oder stehen neben dem Zaun.
830,A painter shows off his talent in front of a group of people,Ein Maler zeigt sein Talent vor einer Menschenansammlung.
831,A boy is holding his nose and jumping off a diving board backwards into a lake.,Ein Junge hält seien Nase zu und springt von einem Sprungbrett aus rückwärts in einen See.
832,A young boy pulls a car toy up a hill.,Ein kleiner Junge zieht ein Spielzeugauto einen Hügel hinauf.
833,An Asian woman in a red sweater holding her baby.,"Eine asiatische Frau in rotem Pullover, die ihr Baby hält."
834,A asian man gives an evil eye to the camera.,"Ein asiatischer Mann, der mit bösem Blick in die Kamera sieht."
835,A toddler wearing a onesie is stretching to see a video game in an arcade.,"Ein Kleinkind in einem Einteiler streckt sich, um ein Videospiel in einer Einkaufspassage zu sehen."
836,A young boy laying face down in water.,"Ein Junge, der mit dem Gesicht nach unten im Wasser liegt."
837,Three boys in size order getting wet next to a wall,"Drei der Größe nach angeordnete Jungen neben einer Mauer, die nass werden."
838,A woman with braids is kneeling down and adjusting string on a machine,Eine Frau mit Zöpfen kniet und stellt an einer Maschine eine Schnur ein.
839,Two people with yellow backpacks hiking up a hill.,"Zwei Leute mit gelben Rucksäcken, die einen Hügel hinauf wandern."
840,In a tree filled park a man stretches.,In einem Park mit vielen Bäumen streckt sich ein Mann.
841,Various passengers on a bus look out the window or into the distance.,Mehrere Passagiere eines Busses blicken aus dem Fenster in die Ferne.
842,Two male security officers are restraining another man by the shoulders and arms.,Zwei männliche Security-Mitarbeiter halten einen anderen Mann an Schultern und Armen fest.
843,Two hikers walk down an arid slope next to a green conifer.,Zwei Wanderer wandern neben einer grünen Konifere eine karge Böschung hinunter.
844,The boy has blond-hair and a dirty face.,Der Junge hat blonde Haare und ein schmutziges Gesicht.
845,A woman looks stone-faced in the mirror as she applies eyeliner.,"Eine Frau blickt regungslos in den Spiegel, während sie Eyeliner aufträgt."
846,A few guys playing soccer on a field.,Ein paar Typen spielen auf einem Feld Fußball.
847,A man in a Hawaiian shirt is playing an orange electric guitar on a stage.,Ein Mann mit einem Hawaii-Hemd spielt auf einer Bühne auf einer orangefarbenen Gitarre.
848,People on a crowded train or bus in Asia.,Leute in einem vollen Zug oder Bus in Asien.
849,There is a man on a bucking horse holding on tightly while the crowd watches at a rodeo.,"Bei einem Rodeo hält sich ein Mann auf einem bockenden Pferd gut fest, während die Menge zusieht."
850,An adult man wearing jeans and black shirt holding a beverage.,"Ein erwachsener Mann mit Jeans und schwarzem Hemd, der ein Getränk hält."
851,A man has his arms around two women who are posing for a picture with him.,"Ein Mann hat seine Arme um zwei Frauen gelegt, die für ein Bild mit ihm posieren."
852,A mobile food station set up to serve patrons on the city streets.,"Eine mobile Essensstation, die dazu dient, Stammgäste auf den Straßen der Stadt zu versorgen."
853,A woman with a red jacket and her companion eating snacks.,"Eine Frau mit einer roten Jacke und ihr Begleiter, wie sie eine Kleinigkeit essen."
854,"A very young boy sliding down a slide into a swimming pool, wearing blue floaties.","Ein ganz kleiner Junge mit blauen Schwimmflügeln, der über eine Rutsche in ein Schwimmbecken rutscht."
855,Girl with green tank top standing in the middle of a train track with multicolor train cars to the right.,"Ein Mädchen mit grünem Pullunder, die in der Mitte eines Zuggleises steht, rechts mehrfarbige Zugwaggons."
856,Girl is standing out on the train tracks.,Ein Mädchen steht auf dem Gleis.
857,A fisherman is preparing his nets for his next haul.,Ein Fischer bereitet die Netze für seinen nächsten Fischzug vor.
858,A woman is sitting on a stool with an accordion.,Eine Frau sitzt mit einem Akkordeon auf einem Hocker.
